hs_contact_id,email,company_name,lead_source,mql_date,lifecycle_stage,sf_opportunity_id,country,utm_campaign,number_of_employees,country_canonical,lead_source_canonical,canonical_name,has_sf_opportunity
HS-90908,contact908@acmecorp.com.br,acme,Referral,2023-11-24,Lead,,Brasil,organic,859.0,BR,Partner/Referral,acme,False
HS-90909,contact909@dataprime.com.br,DataPrime,Organic Search,2025-01-07,MQL,,Brazil,event-saas-summit,,BR,Organic Search,dataprime,False
HS-90910,contact910@zentra.com.br,zentra,Organic,2023-12-02,SQL,OPP-2024072,Brasil,event-saas-summit,957.0,BR,Organic Search,zentra,True
HS-90911,contact911@rushflow.com.br,RUSHFLOW,Organic Search,,Lead,OPP-2024307,Brasil,organic,,BR,Organic Search,rushflow,True
HS-90912,contact912@verticetech.com.br,Vertice,email,2025-01-10,SQL,OPP-2024004,Brasil,linkedin-ads-q3,,BR,Email Marketing,vertice,True
HS-90913,contact913@gruponexus.com.br,Grupo Nexus,SEO,2025-01-21,Customer,,Brasil,organic,,BR,Organic Search,nexus,False
HS-90914,contact914@ampliasolucoes.com.br,AMPLIA SOLUCOES,google ads,,Subscriber,OPP-2024488,BRA,organic,,BR,Paid Search,amplia,True
HS-90915,contact915@dataprime.com.br,DATAPRIME,Direct,,Lead,,Brasil,organic,136.0,BR,Other,dataprime,False
HS-90916,contact916@orbitdigital.com.br,Orbit Digital,Email Marketing,2024-04-15,Lead,OPP-2024864,Brasil,demo-request,,BR,Email Marketing,orbit,True
HS-90917,contact917@gridsoft.com.br,GRIDSOFT,Referral,,Customer,,Brasil,webinar-nov24,,BR,Partner/Referral,gridsoft,False
HS-90918,contact918@tapflow.com.br,Tap Flow,SEO,,MQL,,Brasil,cold-outbound,1970.0,BR,Organic Search,tapflow,False
HS-90919,contact919@dataprime.com.br,DATAPRIME,organic,2024-08-27,Customer,,Brasil,demo-request,314.0,BR,Organic Search,dataprime,False
HS-90920,contact920@connectwave.com.br,Connect Wave,paid,,Lead,,Brasil,partner-referral,931.0,BR,Paid Search,connectwave,False
HS-90921,contact921@acmecorp.com.br,acme,Social Media,2024-11-22,MQL,,Brazil,organic,887.0,BR,Social Media,acme,False
HS-90922,contact922@connectwave.com.br,CONNECTWAVE,Organic Search,2025-01-12,Lead,,BRA,cold-outbound,,BR,Organic Search,connectwave,False
HS-90923,contact923@corelogic.com.br,CoreLogic,SEO,2024-04-25,SQL,OPP-2024118,BRASIL,partner-referral,3719.0,BR,Organic Search,corelogic,True
HS-90924,contact924@orbitdigital.com.br,Orbit,Email Marketing,,MQL,OPP-2024443,Brasil,webinar-nov24,620.0,BR,Email Marketing,orbit,True
HS-90925,contact925@ampliasolucoes.com.br,Amplia,Referral,,Subscriber,OPP-2024141,Brasil,demo-request,,BR,Partner/Referral,amplia,True
HS-90926,contact926@orbitdigital.com.br,Orbit,Referral,,Customer,OPP-2024158,Brazil,organic,,BR,Partner/Referral,orbit,True
HS-90927,contact927@gruponexus.com.br,GRUPO NEXUS,Organic Search,2024-09-14,Lead,,Brazil,partner-referral,124.0,BR,Organic Search,nexus,False
HS-90928,contact928@polare.com.br,POLARE,Email Marketing,,Customer,OPP-2024672,Brasil,webinar-nov24,95.0,BR,Email Marketing,polare,True
HS-90929,contact929@zentra.com.br,ZENTRA,Organic Search,2024-02-10,Lead,,Brasil,webinar-nov24,69.0,BR,Organic Search,zentra,False
HS-90930,contact930@zentra.com.br,ZENTRA,Content Download,,Customer,OPP-2024668,Brasil,demo-request,,BR,Content Download,zentra,True
HS-90931,contact931@fluxosistemas.com.br,Fluxo Sistemas,Paid Search,2024-09-13,SQL,,Brasil,webinar-nov24,154.0,BR,Paid Search,fluxo,False
HS-90932,contact932@dataprime.com.br,dataprime,organic,,SQL,,BRASIL,webinar-nov24,,BR,Organic Search,dataprime,False
HS-90933,contact933@tapflow.com.br,tapflow,Email Marketing,,Lead,,BR,partner-referral,,BR,Email Marketing,tapflow,False
HS-90934,contact934@rushflow.com.br,RUSHFLOW,Social Media,2024-11-25,SQL,,Brasil,ebook-revops,82.0,BR,Social Media,rushflow,False
HS-90935,contact935@bluepath.com.br,Blue Path,Organic Search,2024-08-05,Lead,,Brasil,demo-request,561.0,BR,Organic Search,bluepath,False
HS-90936,contact936@gruponexus.com.br,Nexus Group,Email Marketing,,SQL,,Brasil,demo-request,462.0,BR,Email Marketing,nexus,False
HS-90937,contact937@innova.com.br,innova,Referral,2023-12-13,MQL,OPP-2024320,brasil,event-saas-summit,130.0,BR,Partner/Referral,innova,True
HS-90938,contact938@rushflow.com.br,rushflow,Social Media,2024-11-03,Subscriber,,Brasil,linkedin-ads-q3,2102.0,BR,Social Media,rushflow,False
HS-90939,contact939@gridsoft.com.br,GridSoft,Social Media,2024-06-12,Subscriber,OPP-2024321,Brasil,cold-outbound,,BR,Social Media,gridsoft,True
HS-90940,contact940@polaris.com.br,Polaris Tech,Organic Search,2024-07-13,Subscriber,OPP-2024522,BRASIL,ebook-revops,966.0,BR,Organic Search,polaris,True
HS-90941,contact941@mindbox.com.br,mindbox,Referral,2025-01-01,SQL,,BRASIL,webinar-nov24,5492.0,BR,Partner/Referral,mindbox,False
HS-90942,contact942@gridsoft.com.br,Grid Soft,Paid Search,2024-12-01,Customer,,Brasil,event-saas-summit,908.0,BR,Paid Search,gridsoft,False
HS-90943,contact943@verticetech.com.br,Vertice Tech,Direct,,Customer,,Brasil,webinar-nov24,563.0,BR,Other,vertice,False
HS-90944,contact944@acmecorp.com.br,Acme Corp.,Partner,2024-04-05,Subscriber,,Brasil,partner-referral,8885.0,BR,Partner/Referral,acme,False
HS-90945,contact945@connectwave.com.br,CONNECTWAVE,Event,,SQL,OPP-2024037,Brasil,partner-referral,75.0,BR,Other,connectwave,True
HS-90946,contact946@zentra.com.br,Zentra,Email Marketing,,Customer,,Brasil,partner-referral,,BR,Email Marketing,zentra,False
HS-90947,contact947@polare.com.br,POLARE,social,2024-06-05,Lead,,Brasil,cold-outbound,,BR,Social Media,polare,False
HS-90948,contact948@polare.com.br,polare,Direct,2024-07-31,Subscriber,,Brasil,partner-referral,,BR,Other,polare,False
HS-90949,contact949@skyops.com.br,SKYOPS,SEO,2024-12-19,SQL,,Brasil,partner-referral,60.0,BR,Organic Search,skyops,False
HS-90950,contact950@connectwave.com.br,CONNECTWAVE,Partner,2025-01-02,Customer,,BR,event-saas-summit,777.0,BR,Partner/Referral,connectwave,False
HS-90951,contact951@skyops.com.br,skyops,Organic Search,2024-12-26,SQL,,BRASIL,demo-request,637.0,BR,Organic Search,skyops,False
HS-90952,contact952@orbitdigital.com.br,Orbit,Organic,,SQL,,brasil,partner-referral,382.0,BR,Organic Search,orbit,False
HS-90953,contact953@fluxosistemas.com.br,Fluxo Sistemas Ltda,Paid Search,2023-12-02,Subscriber,OPP-2024721,Brasil,demo-request,,BR,Paid Search,fluxo,True
HS-90954,contact954@acmecorp.com.br,Acme,Paid Search,2024-12-17,Lead,,Brasil,cold-outbound,,BR,Paid Search,acme,False
HS-90955,contact955@innova.com.br,innova,Email Marketing,2024-09-29,Customer,,BRA,linkedin-ads-q3,891.0,BR,Email Marketing,innova,False
HS-90956,contact956@corelogic.com.br,corelogic,Direct,2024-07-04,Customer,,Brasil,cold-outbound,23.0,BR,Other,corelogic,False
HS-90957,contact957@skyops.com.br,Sky Ops,Paid Search,2024-03-28,Customer,,Brasil,cold-outbound,100.0,BR,Paid Search,skyops,False
HS-90958,contact958@gridsoft.com.br,Grid Soft,partner referral,2024-01-26,Subscriber,OPP-2024944,Brasil,linkedin-ads-q3,,BR,Partner/Referral,gridsoft,True
HS-90959,contact959@innova.com.br,Innova,Partner,2025-01-31,SQL,OPP-2025019,Brasil,demo-request,23.0,BR,Partner/Referral,innova,True
HS-90960,contact960@verticetech.com.br,VERTICE TECH,Webinar,2024-09-25,SQL,OPP-2024205,Brasil,demo-request,,BR,Webinar,vertice,True
HS-90961,contact961@corelogic.com.br,corelogic,Event,,SQL,OPP-2024510,BR,ebook-revops,,BR,Other,corelogic,True
HS-90962,contact962@orbitdigital.com.br,orbit digital,paid,,Lead,,BRA,partner-referral,8256.0,BR,Paid Search,orbit,False
HS-90963,contact963@orbitdigital.com.br,ORBIT DIGITAL,Organic Search,2023-11-07,Customer,,brasil,cold-outbound,,BR,Organic Search,orbit,False
HS-90964,contact964@corelogic.com.br,CORELOGIC,Referral,2024-04-29,Customer,,Brasil,webinar-nov24,876.0,BR,Partner/Referral,corelogic,False
HS-90965,contact965@tapflow.com.br,TAPFLOW,Webinar,2024-02-11,SQL,OPP-2024031,Brasil,linkedin-ads-q3,144.0,BR,Webinar,tapflow,True
HS-90966,contact966@skyops.com.br,SKYOPS,Email Marketing,,Subscriber,OPP-2024084,Brasil,demo-request,,BR,Email Marketing,skyops,True
HS-90967,contact967@betasolutions.com.br,beta solutions,Referral,2023-12-25,SQL,,Brasil,organic,814.0,BR,Partner/Referral,betasolutions,False
HS-90968,contact968@polaris.com.br,polaris,Event,,SQL,OPP-2024525,Brasil,cold-outbound,,BR,Other,polaris,True
HS-90969,contact969@verticetech.com.br,Vertice,Social Media,2024-10-01,SQL,,brasil,cold-outbound,76.0,BR,Social Media,vertice,False
HS-90970,contact970@gruponexus.com.br,Nexus Group,Content Download,2023-12-09,SQL,,brasil,cold-outbound,701.0,BR,Content Download,nexus,False
HS-90971,contact971@connectwave.com.br,connectwave,Organic Search,,SQL,OPP-2024571,Brasil,partner-referral,966.0,BR,Organic Search,connectwave,True
HS-90972,contact972@betasolutions.com.br,Beta Solutions,Organic,2024-04-20,Subscriber,OPP-2024850,Brasil,event-saas-summit,,BR,Organic Search,betasolutions,True
HS-90973,contact973@corelogic.com.br,corelogic,Paid Search,2023-09-06,Customer,,Brasil,webinar-nov24,,BR,Paid Search,corelogic,False
HS-90974,contact974@polare.com.br,Polare Ltda,Webinar,2024-12-22,Lead,,brasil,demo-request,238.0,BR,Webinar,polare,False
HS-90975,contact975@innova.com.br,Innova Tech,Email Marketing,2023-12-23,Subscriber,,Brasil,organic,456.0,BR,Email Marketing,innova,False
HS-90976,contact976@skyops.com.br,SkyOps,Partner,2025-01-06,Customer,,Brasil,ebook-revops,55.0,BR,Partner/Referral,skyops,False
HS-90977,contact977@acmecorp.com.br,acme,SEO,2024-12-07,SQL,,brasil,partner-referral,,BR,Organic Search,acme,False
HS-90978,contact978@acmecorp.com.br,ACME CORP,Webinar,2024-06-20,Customer,OPP-2025092,Brasil,demo-request,55.0,BR,Webinar,acme,True
HS-90979,contact979@rushflow.com.br,RushFlow,Paid Search,,Customer,OPP-2024078,Brasil,ebook-revops,248.0,BR,Paid Search,rushflow,True
HS-90980,contact980@connectwave.com.br,connectwave,Webinar,2023-12-18,Customer,OPP-2024897,Brasil,event-saas-summit,3485.0,BR,Webinar,connectwave,True
HS-90981,contact981@dataprime.com.br,dataprime,Referral,,SQL,OPP-2024498,Brasil,organic,,BR,Partner/Referral,dataprime,True
HS-90982,contact982@connectwave.com.br,connectwave,Organic Search,,Customer,OPP-2025145,Brasil,linkedin-ads-q3,9159.0,BR,Organic Search,connectwave,True
HS-90983,contact983@orbitdigital.com.br,Orbit Digital,Paid Search,2023-10-23,Customer,,BRA,linkedin-ads-q3,4791.0,BR,Paid Search,orbit,False
HS-90984,contact984@betasolutions.com.br,BETA SOLUTIONS,partner referral,2023-10-10,Subscriber,,Brasil,webinar-nov24,8659.0,BR,Partner/Referral,betasolutions,False
HS-90985,contact985@polaris.com.br,POLARIS,partner referral,,Subscriber,,Brasil,event-saas-summit,,BR,Partner/Referral,polaris,False
HS-90986,contact986@acmecorp.com.br,acme,Paid Search,2024-08-01,SQL,,Brasil,webinar-nov24,,BR,Paid Search,acme,False
HS-90987,contact987@verticetech.com.br,Vertice Tech,Organic Search,2024-08-18,MQL,,BRASIL,cold-outbound,,BR,Organic Search,vertice,False
HS-90988,contact988@fluxosistemas.com.br,Fluxo,Paid Search,2024-12-29,SQL,OPP-2024027,BRASIL,demo-request,,BR,Paid Search,fluxo,True
HS-90989,contact989@innova.com.br,Innova,organic,,Lead,OPP-2024562,Brasil,cold-outbound,119.0,BR,Organic Search,innova,True
HS-90990,contact990@corelogic.com.br,corelogic,Partner,2024-05-29,Subscriber,OPP-2024953,BRASIL,ebook-revops,3919.0,BR,Partner/Referral,corelogic,True
HS-90991,contact991@betasolutions.com.br,BETA SOLUTIONS,Referral,2023-10-17,MQL,OPP-2024617,Brasil,linkedin-ads-q3,,BR,Partner/Referral,betasolutions,True
HS-90992,contact992@bluepath.com.br,BLUEPATH,email,2024-10-03,MQL,,Brasil,cold-outbound,,BR,Email Marketing,bluepath,False
HS-90993,contact993@dataprime.com.br,Data Prime,Social Media,2024-11-04,Lead,,Brasil,cold-outbound,500.0,BR,Social Media,dataprime,False
HS-90994,contact994@gruponexus.com.br,nexus,Webinar,2025-01-03,MQL,OPP-2024491,Brasil,ebook-revops,60.0,BR,Webinar,nexus,True
HS-90995,contact995@orbitdigital.com.br,ORBIT DIGITAL,Content Download,,Subscriber,,BR,ebook-revops,136.0,BR,Content Download,orbit,False
HS-90996,contact996@innova.com.br,Innova Tech,Partner,2024-07-07,Customer,,Brasil,organic,688.0,BR,Partner/Referral,innova,False
HS-90997,contact997@rushflow.com.br,rushflow,Referral,,Lead,OPP-2025136,Brasil,ebook-revops,,BR,Partner/Referral,rushflow,True
HS-90998,contact998@bluepath.com.br,BLUEPATH,Direct,,Customer,,Brasil,event-saas-summit,306.0,BR,Other,bluepath,False
HS-90999,contact999@ampliasolucoes.com.br,Amplia Soluções,Referral,2024-02-26,Lead,,Brasil,webinar-nov24,7536.0,BR,Partner/Referral,amplia,False
HS-91000,contact1000@betasolutions.com.br,BETA SOLUTIONS,Event,2024-07-16,MQL,,Brasil,event-saas-summit,92.0,BR,Other,betasolutions,False
HS-91001,contact1001@mindbox.com.br,mindbox,partner referral,,Lead,,Brasil,partner-referral,942.0,BR,Partner/Referral,mindbox,False
HS-91002,contact1002@corelogic.com.br,CORELOGIC,Content Download,2023-10-16,SQL,,BRA,event-saas-summit,,BR,Content Download,corelogic,False
HS-91003,contact1003@ampliasolucoes.com.br,Amplia,Organic Search,2024-11-06,Customer,,Brasil,organic,,BR,Organic Search,amplia,False
HS-91004,contact1004@mindbox.com.br,Mind Box,Event,2024-08-08,MQL,,Brasil,organic,15.0,BR,Other,mindbox,False
HS-91005,contact1005@bluepath.com.br,Blue Path,Referral,,Lead,OPP-2024581,Brasil,demo-request,,BR,Partner/Referral,bluepath,True
HS-91006,contact1006@zentra.com.br,Zentra Tech,Organic,2025-01-21,MQL,,Brasil,cold-outbound,,BR,Organic Search,zentra,False
HS-91007,contact1007@innova.com.br,INNOVA,Content Download,,Lead,,Brasil,event-saas-summit,342.0,BR,Content Download,innova,False
HS-91008,contact1008@dataprime.com.br,DataPrime,Email Marketing,2024-07-20,SQL,,Brasil,event-saas-summit,665.0,BR,Email Marketing,dataprime,False
HS-91009,contact927@gruponexus.com.br,GRUPO NEXUS,Partner,,Lead,,Brasil,demo-request,68.0,BR,Partner/Referral,nexus,False
HS-91010,contact1010@skyops.com.br,Sky Ops,paid,2024-01-17,Subscriber,,BRA,event-saas-summit,176.0,BR,Paid Search,skyops,False
HS-91011,contact1011@betasolutions.com.br,beta solutions,Email Marketing,,Subscriber,,Brasil,organic,6003.0,BR,Email Marketing,betasolutions,False
HS-91012,contact1012@polare.com.br,Polare,Organic Search,,Lead,OPP-2024304,Brasil,partner-referral,851.0,BR,Organic Search,polare,True
HS-91013,contact1013@tapflow.com.br,TAPFLOW,Organic,2024-11-14,Subscriber,,Brasil,linkedin-ads-q3,255.0,BR,Organic Search,tapflow,False
HS-91014,contact1014@skyops.com.br,SKYOPS,Social Media,2024-02-08,Lead,,Brasil,cold-outbound,9297.0,BR,Social Media,skyops,False
HS-91015,contact1015@verticetech.com.br,Vertice Tech,email,2024-10-11,Customer,OPP-2025166,brasil,webinar-nov24,,BR,Email Marketing,vertice,True
HS-91016,contact1016@polare.com.br,POLARE,SEO,,Lead,,brasil,event-saas-summit,6080.0,BR,Organic Search,polare,False
HS-91017,contact1017@skyops.com.br,skyops,Partner,,SQL,,Brasil,partner-referral,30.0,BR,Partner/Referral,skyops,False
HS-91018,contact1018@gridsoft.com.br,GRIDSOFT,Content Download,2025-01-23,Subscriber,,Brasil,ebook-revops,466.0,BR,Content Download,gridsoft,False
HS-91019,contact1019@tapflow.com.br,TapFlow,Direct,2023-10-21,Lead,OPP-2024817,Brazil,webinar-nov24,452.0,BR,Other,tapflow,True
HS-91020,contact1020@fluxosistemas.com.br,Fluxo Sistemas Ltda,SEO,2024-07-13,Customer,,Brasil,organic,,BR,Organic Search,fluxo,False
HS-91021,contact1021@gridsoft.com.br,GRIDSOFT,Direct,2024-10-07,Subscriber,,Brasil,linkedin-ads-q3,179.0,BR,Other,gridsoft,False
HS-91022,contact1022@zentra.com.br,Zentra Tech,partner referral,2024-06-25,MQL,,Brasil,demo-request,,BR,Partner/Referral,zentra,False
HS-91023,contact1023@connectwave.com.br,CONNECTWAVE,Webinar,2023-10-22,MQL,,BRA,cold-outbound,130.0,BR,Webinar,connectwave,False
HS-91024,contact1024@fluxosistemas.com.br,Fluxo Sistemas,Email Marketing,2024-08-24,MQL,,Brasil,partner-referral,933.0,BR,Email Marketing,fluxo,False
HS-91025,contact991@betasolutions.com.br,Beta Solutions Ltda,Referral,,Customer,OPP-2025105,Brasil,partner-referral,,BR,Partner/Referral,betasolutions,True
HS-91026,contact1026@innova.com.br,Innova,Organic,,SQL,,Brasil,demo-request,462.0,BR,Organic Search,innova,False
HS-91027,contact1027@orbitdigital.com.br,ORBIT DIGITAL,organic,2024-09-13,Customer,,Brasil,webinar-nov24,,BR,Organic Search,orbit,False
HS-91028,contact1028@verticetech.com.br,VERTICE TECH,social,,Customer,,Brasil,webinar-nov24,133.0,BR,Social Media,vertice,False
HS-91029,contact1029@ampliasolucoes.com.br,Amplia Soluções,Referral,2024-11-19,MQL,,BRASIL,partner-referral,102.0,BR,Partner/Referral,amplia,False
HS-91030,contact1030@ampliasolucoes.com.br,Amplia,Email Marketing,2024-02-05,Customer,OPP-2024300,brasil,cold-outbound,36.0,BR,Email Marketing,amplia,True
HS-91031,contact1031@innova.com.br,INNOVA,Paid Search,2024-08-05,MQL,,Brasil,linkedin-ads-q3,881.0,BR,Paid Search,innova,False
HS-91032,contact1032@connectwave.com.br,connectwave,Webinar,2023-12-07,Customer,,BR,webinar-nov24,,BR,Webinar,connectwave,False
HS-91033,contact1033@mindbox.com.br,MINDBOX,organic,,MQL,,Brasil,webinar-nov24,176.0,BR,Organic Search,mindbox,False
HS-91034,contact1034@orbitdigital.com.br,ORBIT DIGITAL,Partner,,Subscriber,,Brasil,ebook-revops,709.0,BR,Partner/Referral,orbit,False
HS-91035,contact1035@verticetech.com.br,VERTICE TECH,Webinar,,SQL,,Brasil,linkedin-ads-q3,,BR,Webinar,vertice,False
HS-91036,contact1036@zentra.com.br,Zentra,Social Media,,Subscriber,OPP-2024548,Brasil,event-saas-summit,6170.0,BR,Social Media,zentra,True
HS-91037,contact1037@tapflow.com.br,TAPFLOW,Direct,2024-03-26,Lead,OPP-2025176,Brasil,ebook-revops,2219.0,BR,Other,tapflow,True
HS-91038,contact1038@ampliasolucoes.com.br,Amplia Soluções,Content Download,,Lead,,BR,webinar-nov24,,BR,Content Download,amplia,False
HS-91039,contact929@zentra.com.br,Zentra,Social Media,2024-09-17,Lead,OPP-2024835,Brasil,event-saas-summit,,BR,Social Media,zentra,True
HS-91040,contact1040@acmecorp.com.br,acme,Organic Search,2024-10-06,SQL,,Brasil,cold-outbound,117.0,BR,Organic Search,acme,False
HS-91041,contact1041@gruponexus.com.br,nexus,Event,2023-11-25,SQL,,Brasil,webinar-nov24,195.0,BR,Other,nexus,False
HS-91042,contact1042@gridsoft.com.br,gridsoft,Paid Search,2025-01-09,Customer,OPP-2024200,Brasil,cold-outbound,4600.0,BR,Paid Search,gridsoft,True
HS-91043,contact1043@tapflow.com.br,Tap Flow,Direct,2023-09-01,Subscriber,,Brasil,ebook-revops,2022.0,BR,Other,tapflow,False
HS-91044,contact1044@connectwave.com.br,CONNECTWAVE,organic,2024-11-16,Customer,,Brasil,organic,,BR,Organic Search,connectwave,False
HS-91045,contact1045@mindbox.com.br,Mindbox,Event,,Subscriber,,BRASIL,event-saas-summit,182.0,BR,Other,mindbox,False
HS-91046,contact1046@gruponexus.com.br,Nexus Group,partner referral,2024-07-15,Customer,,Brasil,ebook-revops,996.0,BR,Partner/Referral,nexus,False
HS-91047,contact1047@corelogic.com.br,Core Logic,Partner,2024-12-01,Subscriber,OPP-2024383,BR,organic,,BR,Partner/Referral,corelogic,True
HS-91048,contact1048@acmecorp.com.br,Acme Corp,Referral,2024-02-03,Lead,OPP-2024134,Brasil,demo-request,80.0,BR,Partner/Referral,acme,True
HS-91049,contact1049@tapflow.com.br,Tap Flow,Social Media,2023-12-31,Customer,,Brasil,partner-referral,855.0,BR,Social Media,tapflow,False
HS-91050,contact1050@connectwave.com.br,ConnectWave,Partner,2024-12-24,Lead,,Brasil,demo-request,308.0,BR,Partner/Referral,connectwave,False
HS-91051,contact1051@mindbox.com.br,mindbox,Organic Search,2024-11-24,SQL,OPP-2024885,BRA,webinar-nov24,,BR,Organic Search,mindbox,True
HS-91052,contact1052@zentra.com.br,ZENTRA,Event,2023-12-05,Lead,,Brasil,webinar-nov24,9200.0,BR,Other,zentra,False
HS-91053,contact1053@zentra.com.br,zentra,Paid Search,2024-06-25,Lead,OPP-2024878,Brasil,event-saas-summit,305.0,BR,Paid Search,zentra,True
HS-91054,contact1054@fluxosistemas.com.br,Fluxo Sistemas,Partner,,Lead,OPP-2024701,Brasil,cold-outbound,,BR,Partner/Referral,fluxo,True
HS-91055,contact1055@polare.com.br,polare,Email Marketing,2024-02-28,Lead,,BRA,demo-request,143.0,BR,Email Marketing,polare,False
HS-91056,contact1056@verticetech.com.br,Vertice Tech,Social Media,2024-12-23,Lead,,Brasil,linkedin-ads-q3,,BR,Social Media,vertice,False
HS-91057,contact960@verticetech.com.br,VERTICE TECH,Social Media,2024-01-16,Customer,OPP-2024995,Brasil,cold-outbound,,BR,Social Media,vertice,True
HS-91058,contact1058@corelogic.com.br,Core Logic,google ads,2024-05-20,MQL,,Brasil,demo-request,520.0,BR,Paid Search,corelogic,False
HS-91059,contact1059@ampliasolucoes.com.br,Amplia,social,2024-09-12,MQL,OPP-2024321,BRA,webinar-nov24,,BR,Social Media,amplia,True
HS-91060,contact1060@gridsoft.com.br,gridsoft,Direct,,MQL,OPP-2024514,Brazil,cold-outbound,199.0,BR,Other,gridsoft,True
HS-91061,contact1061@polare.com.br,Polare Ltda,email,2024-05-23,SQL,OPP-2024667,BRA,ebook-revops,499.0,BR,Email Marketing,polare,True
HS-91062,contact1062@connectwave.com.br,ConnectWave,Email Marketing,2024-03-03,Customer,OPP-2024047,Brasil,ebook-revops,6917.0,BR,Email Marketing,connectwave,True
HS-91063,contact1063@connectwave.com.br,Connect Wave,Organic Search,2024-01-15,MQL,,BR,event-saas-summit,127.0,BR,Organic Search,connectwave,False
HS-91064,contact1064@zentra.com.br,Zentra Tech,Organic Search,2024-04-08,Lead,OPP-2024584,Brasil,cold-outbound,914.0,BR,Organic Search,zentra,True
HS-91065,contact1065@polare.com.br,polare,Event,,Lead,,BRASIL,demo-request,921.0,BR,Other,polare,False
HS-91066,contact1066@gridsoft.com.br,GRIDSOFT,Email Marketing,2024-09-07,Customer,,BR,ebook-revops,,BR,Email Marketing,gridsoft,False
HS-91067,contact1035@verticetech.com.br,Vertice,Partner,2024-06-02,MQL,OPP-2025158,Brasil,linkedin-ads-q3,142.0,BR,Partner/Referral,vertice,True
HS-91068,contact1068@acmecorp.com.br,Acme,Webinar,2024-03-26,SQL,,Brasil,linkedin-ads-q3,,BR,Webinar,acme,False
HS-91069,contact1069@mindbox.com.br,Mind Box,Organic Search,2024-03-08,SQL,OPP-2025014,BR,linkedin-ads-q3,866.0,BR,Organic Search,mindbox,True
HS-91070,contact1070@ampliasolucoes.com.br,Amplia,Direct,2023-10-06,Customer,,Brazil,webinar-nov24,761.0,BR,Other,amplia,False
HS-91071,contact1071@acmecorp.com.br,ACME CORP,Paid Search,2023-09-04,SQL,OPP-2024357,brasil,webinar-nov24,998.0,BR,Paid Search,acme,True
HS-91072,contact1072@mindbox.com.br,Mind Box,Social Media,,Customer,OPP-2024275,Brasil,ebook-revops,9099.0,BR,Social Media,mindbox,True
HS-91073,contact1073@mindbox.com.br,MINDBOX,Paid Search,2023-11-17,Subscriber,OPP-2024112,BRA,linkedin-ads-q3,989.0,BR,Paid Search,mindbox,True
HS-91074,contact1074@connectwave.com.br,CONNECTWAVE,Organic,,Subscriber,,BR,linkedin-ads-q3,3613.0,BR,Organic Search,connectwave,False
HS-91075,contact1075@dataprime.com.br,Data Prime,paid,,Customer,,Brasil,webinar-nov24,5005.0,BR,Paid Search,dataprime,False
HS-91076,contact1076@rushflow.com.br,RushFlow,Paid Search,,MQL,OPP-2024049,BRA,ebook-revops,126.0,BR,Paid Search,rushflow,True
HS-91077,contact1077@mindbox.com.br,mindbox,Paid Search,2023-09-20,Lead,,Brasil,cold-outbound,,BR,Paid Search,mindbox,False
HS-91078,contact1078@ampliasolucoes.com.br,Amplia Soluções Ltda,Referral,,Subscriber,OPP-2025146,BRASIL,partner-referral,11.0,BR,Partner/Referral,amplia,True
HS-91079,contact1079@orbitdigital.com.br,ORBIT DIGITAL,Organic Search,,Customer,,Brasil,cold-outbound,22.0,BR,Organic Search,orbit,False
HS-91080,contact1080@ampliasolucoes.com.br,AMPLIA SOLUCOES,paid,,Customer,,Brasil,demo-request,,BR,Paid Search,amplia,False
HS-91081,contact1081@gridsoft.com.br,gridsoft,Paid Search,,MQL,,Brasil,linkedin-ads-q3,,BR,Paid Search,gridsoft,False
HS-91082,contact1082@zentra.com.br,ZENTRA,Email Marketing,2024-11-03,MQL,,brasil,linkedin-ads-q3,,BR,Email Marketing,zentra,False
HS-91083,contact1083@mindbox.com.br,MINDBOX,Organic Search,2023-09-29,SQL,,Brasil,organic,244.0,BR,Organic Search,mindbox,False
HS-91084,contact1084@gruponexus.com.br,nexus,organic,2024-04-18,SQL,,Brasil,partner-referral,,BR,Organic Search,nexus,False
HS-91085,contact1085@tapflow.com.br,tapflow,SEO,,SQL,,Brasil,webinar-nov24,,BR,Organic Search,tapflow,False
HS-91086,contact1086@dataprime.com.br,Data Prime,SEO,2024-10-04,Customer,,Brasil,partner-referral,296.0,BR,Organic Search,dataprime,False
HS-91087,contact1087@polaris.com.br,POLARIS,Referral,2024-11-15,Subscriber,OPP-2025142,Brasil,ebook-revops,12.0,BR,Partner/Referral,polaris,True
HS-91088,contact1088@polare.com.br,POLARE,Referral,,Customer,OPP-2024771,BRA,ebook-revops,194.0,BR,Partner/Referral,polare,True
HS-91089,contact1089@polaris.com.br,Polaris Tech,google ads,2024-09-07,SQL,OPP-2024031,Brasil,webinar-nov24,1302.0,BR,Paid Search,polaris,True
HS-91090,contact1090@polare.com.br,polare,Partner,,Customer,,BR,webinar-nov24,,BR,Partner/Referral,polare,False
HS-91091,contact1024@fluxosistemas.com.br,Fluxo Sistemas,Partner,,MQL,,brasil,webinar-nov24,,BR,Partner/Referral,fluxo,False
HS-91092,contact1092@polaris.com.br,polaris,Referral,2023-12-05,MQL,,Brasil,cold-outbound,86.0,BR,Partner/Referral,polaris,False
HS-91093,contact1093@orbitdigital.com.br,ORBIT DIGITAL,google ads,2024-02-16,Customer,,BRASIL,event-saas-summit,168.0,BR,Paid Search,orbit,False
